log_timestamp_utc,event_type,frame_seq_recv,rssi_dbm,notes,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,ack_seq_sent,ack_type_sent_hex,is_decoded_ts_valid,calculated_latency_ms,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-13T06:34:21.764+00:00Z,CTRL_PKT_RECV,172,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:34:21.774+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,172,0x55,,,,,,,,,,,,,,,
2025-06-13T06:34:28.786+00:00Z,CTRL_PKT_RECV,174,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:34:28.798+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,174,0x55,,,,,,,,,,,,,,,
2025-06-13T06:34:32.341+00:00Z,DATA_FRAME_RECV,174,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:34:32.350+00:00Z,DATA_ACK_SENT,,,,,,,174,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:34:32.354+00:00Z,DECODE_SUCCESS,174,-22,,,,,,,True,5351,1749796467.0,-0.614,0.275,0.776,0.0,0.0,0.0,19.5,36.8,-20.9,37.84701156616211,129.917236328125,61.6
2025-06-13T06:34:35.684+00:00Z,CTRL_PKT_RECV,175,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:34:35.694+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,175,0x55,,,,,,,,,,,,,,,
2025-06-13T06:34:42.702+00:00Z,CTRL_PKT_RECV,177,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:34:42.714+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,177,0x55,,,,,,,,,,,,,,,
2025-06-13T06:34:46.257+00:00Z,DATA_FRAME_RECV,177,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:34:46.266+00:00Z,DATA_ACK_SENT,,,,,,,177,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:34:46.270+00:00Z,DECODE_SUCCESS,177,-22,,,,,,,True,5267,1749796481.0,-0.616,0.276,0.773,-0.1,0.0,0.0,19.5,36.8,-20.9,37.75739669799805,127.87593078613281,0.0
2025-06-13T06:34:49.600+00:00Z,CTRL_PKT_RECV,178,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:34:49.610+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,178,0x55,,,,,,,,,,,,,,,
2025-06-13T06:34:56.622+00:00Z,CTRL_PKT_RECV,180,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:34:56.634+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,180,0x55,,,,,,,,,,,,,,,
2025-06-13T06:35:00.177+00:00Z,DATA_FRAME_RECV,180,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:35:00.186+00:00Z,DATA_ACK_SENT,,,,,,,180,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:35:00.191+00:00Z,DECODE_SUCCESS,180,-22,,,,,,,True,5188,1749796495.0,-0.615,0.276,0.777,0.0,0.0,0.0,19.5,36.8,-20.9,36.40861511230469,129.41648864746094,0.0
2025-06-13T06:35:03.520+00:00Z,CTRL_PKT_RECV,181,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:35:03.530+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,181,0x55,,,,,,,,,,,,,,,
2025-06-13T06:35:10.542+00:00Z,CTRL_PKT_RECV,183,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:35:10.554+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,183,0x55,,,,,,,,,,,,,,,
2025-06-13T06:35:14.097+00:00Z,DATA_FRAME_RECV,183,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:35:14.106+00:00Z,DATA_ACK_SENT,,,,,,,183,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:35:14.111+00:00Z,DECODE_SUCCESS,183,-22,,,,,,,True,5107,1749796509.0,-0.615,0.273,0.775,0.0,0.0,0.0,19.5,36.8,-20.9,34.36402893066406,127.09091186523438,0.0
2025-06-13T06:35:17.439+00:00Z,CTRL_PKT_RECV,184,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:35:17.450+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,184,0x55,,,,,,,,,,,,,,,
2025-06-13T06:35:24.457+00:00Z,CTRL_PKT_RECV,186,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:35:24.466+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,186,0x55,,,,,,,,,,,,,,,
2025-06-13T06:35:28.011+00:00Z,DATA_FRAME_RECV,186,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:35:28.022+00:00Z,DATA_ACK_SENT,,,,,,,186,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:35:28.026+00:00Z,DECODE_SUCCESS,186,-22,,,,,,,True,5023,1749796523.0,-0.615,0.272,0.775,0.0,0.0,0.0,19.5,36.8,-20.9,34.93003845214844,129.11578369140625,41.9
2025-06-13T06:35:31.354+00:00Z,CTRL_PKT_RECV,187,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:35:31.366+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,187,0x55,,,,,,,,,,,,,,,
2025-06-13T06:35:38.374+00:00Z,CTRL_PKT_RECV,189,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:35:38.386+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,189,0x55,,,,,,,,,,,,,,,
2025-06-13T06:35:41.929+00:00Z,DATA_FRAME_RECV,189,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:35:41.938+00:00Z,DATA_ACK_SENT,,,,,,,189,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:35:41.941+00:00Z,DECODE_SUCCESS,189,-22,,,,,,,True,4940,1749796537.0,-0.615,0.275,0.774,0.0,0.0,0.0,19.5,36.8,-20.9,35.586265563964844,127.96873474121094,0.0
2025-06-13T06:35:45.271+00:00Z,CTRL_PKT_RECV,190,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:35:45.282+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,190,0x55,,,,,,,,,,,,,,,
2025-06-13T06:35:52.293+00:00Z,CTRL_PKT_RECV,192,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:35:52.302+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,192,0x55,,,,,,,,,,,,,,,
2025-06-13T06:35:55.848+00:00Z,DATA_FRAME_RECV,192,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:35:55.858+00:00Z,DATA_ACK_SENT,,,,,,,192,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:35:55.861+00:00Z,DECODE_SUCCESS,192,-22,,,,,,,True,4859,1749796551.0,-0.616,0.276,0.776,0.0,0.0,0.0,19.5,36.8,-20.9,37.08282470703125,127.15064239501953,86.3
2025-06-13T06:35:59.190+00:00Z,CTRL_PKT_RECV,193,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:35:59.202+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,193,0x55,,,,,,,,,,,,,,,
2025-06-13T06:36:06.214+00:00Z,CTRL_PKT_RECV,195,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:36:06.226+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,195,0x55,,,,,,,,,,,,,,,
2025-06-13T06:36:09.769+00:00Z,DATA_FRAME_RECV,195,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:36:09.778+00:00Z,DATA_ACK_SENT,,,,,,,195,0xaa,,,,,,,,,,,,,,,
2025-06-13T06:36:09.782+00:00Z,DECODE_SUCCESS,195,-22,,,,,,,True,4779,1749796565.0,-0.617,0.275,0.775,0.0,0.0,0.0,19.5,36.8,-20.9,37.03055191040039,127.3344955444336,0.0
2025-06-13T06:36:13.112+00:00Z,CTRL_PKT_RECV,196,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:36:13.122+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,196,0x55,,,,,,,,,,,,,,,
2025-06-13T06:36:20.129+00:00Z,CTRL_PKT_RECV,198,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:36:20.138+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,198,0x55,,,,,,,,,,,,,,,
2025-06-13T06:36:23.684+00:00Z,DATA_FRAME_RECV,198,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:36:23.694+00:00Z,DATA_ACK_SENT,,,,,,,198,0xaa,,,,,,,,,,,,,,,
