log_timestamp_utc,event_type,frame_seq_recv,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,rssi_dbm,ack_seq_sent,ack_type_sent_hex,decoded_ts_valid_check,decoded_latency_ms_calc,notes,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-09T08:32:12.266+00:00Z,DECODE_SUCCESS,72,,,39,,,,True,1266,Msg #72,1749457931.0,0.263,-0.395,0.922,0.0,0.0,0.1,-23.1,-14.7,-132.7,35.147682189941406,129.02694702148438,128.8
2025-06-09T08:32:13.729+00:00Z,CTRL_PKT_RECV,73,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:13.741+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,73,0x55,,,,,,,,,,,,,,,,
2025-06-09T08:32:14.371+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:14.400+00:00Z,DATA_FRAME_RECV_FULL,73,DATA_FRAME,38,37,-91,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:14.413+00:00Z,DATA_ACK_SENT_OK,,,,,,73,0xaa,,,,,,,,,,,,,,,,
2025-06-09T08:32:14.414+00:00Z,DECODE_SUCCESS,73,,,37,,,,True,1414,Msg #73,1749457933.0,0.265,-0.393,0.924,0.0,0.0,0.0,-23.1,-14.7,-132.7,35.14769744873047,129.02694702148438,127.9
2025-06-09T08:32:15.879+00:00Z,CTRL_PKT_RECV,74,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:15.889+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,74,0x55,,,,,,,,,,,,,,,,
2025-06-09T08:32:16.521+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:16.550+00:00Z,DATA_FRAME_RECV_FULL,74,DATA_FRAME,38,37,-88,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:16.561+00:00Z,DATA_ACK_SENT_OK,,,,,,74,0xaa,,,,,,,,,,,,,,,,
2025-06-09T08:32:16.562+00:00Z,DECODE_SUCCESS,74,,,37,,,,True,1562,Msg #74,1749457935.0,0.265,-0.394,0.922,0.0,0.0,0.0,-23.1,-14.7,-132.7,35.147701263427734,129.02694702148438,127.3
2025-06-09T08:32:24.087+00:00Z,CTRL_PKT_RECV,76,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:24.097+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,76,0x55,,,,,,,,,,,,,,,,
2025-06-09T08:32:24.730+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:24.759+00:00Z,DATA_FRAME_RECV_FULL,76,DATA_FRAME,38,37,-96,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:24.769+00:00Z,DATA_ACK_SENT_OK,,,,,,76,0xaa,,,,,,,,,,,,,,,,
2025-06-09T08:32:24.770+00:00Z,DECODE_SUCCESS,76,,,37,,,,True,1770,Msg #75,1749457943.0,0.264,-0.394,0.926,0.0,0.0,0.0,-23.1,-14.7,-132.7,35.14772415161133,129.02694702148438,126.0
2025-06-09T08:32:26.235+00:00Z,CTRL_PKT_RECV,77,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:26.245+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,77,0x55,,,,,,,,,,,,,,,,
2025-06-09T08:32:26.901+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x29,41,,,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:26.933+00:00Z,DATA_FRAME_RECV_FULL,77,DATA_FRAME,41,40,-96,,,,,,,,,,,,,,,,,,
2025-06-09T08:32:26.945+00:00Z,DATA_ACK_SENT_OK,,,,,,77,0xaa,,,,,,,,,,,,,,,,
