decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
0.76,-0.265,0.638,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14758682250976562,0.026763916015625,135.4
0.76,-0.263,0.636,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14758682250976562,0.026763916015625,135.7
0.761,-0.266,0.639,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14759063720703125,0.026763916015625,135.9
0.762,-0.264,0.637,0.0,0.0,0.0,-22.5,-47.8,0.0,0.1475982666015625,0.026763916015625,135.9
0.762,-0.264,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14760589599609375,0.026763916015625,135.6
0.76,-0.264,0.633,0.0,0.0,0.0,-22.5,-47.8,0.0,0.147613525390625,0.026763916015625,135.9
0.76,-0.264,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14762115478515625,0.026763916015625,136.0
0.759,-0.265,0.638,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14762496948242188,0.026763916015625,136.1
0.758,-0.262,0.638,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14762115478515625,0.026763916015625,136.3
0.759,-0.263,0.636,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14762496948242188,0.026763916015625,136.6
0.76,-0.264,0.637,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14763259887695312,0.026763916015625,136.9
0.762,-0.265,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.1476287841796875,0.026763916015625,137.4
0.76,-0.267,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14763259887695312,0.026763916015625,137.8
0.759,-0.265,0.636,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14763259887695312,0.026763916015625,137.9
0.76,-0.266,0.632,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14763259887695312,0.026763916015625,138.3
0.759,-0.264,0.635,0.0,0.1,0.0,-22.5,-47.8,0.0,0.14763641357421875,0.0267791748046875,138.4
0.759,-0.266,0.639,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14763641357421875,0.0267791748046875,138.7
0.758,-0.263,0.638,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14764404296875,0.0267791748046875,139.2
0.759,-0.265,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14764404296875,0.0267791748046875,139.3
0.76,-0.264,0.636,0.0,0.0,0.0,-22.5,-47.8,0.0,0.14764022827148438,0.0267791748046875,139.7
